steam_id,user_id,game_count
76561198157999500,76561198157999500,3
76561198286931000,xXBoss1Xx,3
76561198218877400,76561198218877400,3
76561198051500800,76561198051500800,3
76561198093532300,1002130882,3
76561198081668200,76561198081668200,3
76561198104838100,76561198104838100,3
76561198325409800,76561198325409800,3
76561198090209500,ZXD22,3
76561198058739900,76561198058739900,3
76561198084139300,76561198084139300,3
76561198051424800,adamswalace,3
76561198064483900,76561198064483900,3
76561198093380300,76561198093380300,3
76561198082314500,76561198082314500,3
76561198048966400,76561198048966400,3
76561198072393300,zacdarkus,3
76561198044097700,76561198044097700,3
76561198093112800,76561198093112800,3
76561198049751300,76561198049751300,3
76561198075995100,76561198075995100,3
76561198121117000,76561198121117000,3
76561198271002700,76561198271002700,3
76561198084499300,DaFrikkerMan,3
76561198079647300,76561198079647300,3
76561198081206300,76561198081206300,3
76561198063917000,76561198063917000,3
76561198076191000,76561198076191000,3
76561198328421100,76561198328421100,3
76561198082783400,themightyunderpant,3
76561198073200100,76561198073200100,3
76561198176807600,76561198176807600,3
76561198091092700,uncle_egghead,3
76561198198584200,Charleshtims,3
76561198102237800,6344143214,3
76561198091687200,76561198091687200,3
76561198310468400,76561198310468400,3
76561198298844100,76561198298844100,3
76561198093270600,76561198093270600,3
76561198243845900,76561198243845900,3
76561198209051000,steamlot11,3
76561198076388600,76561198076388600,3
76561198074803000,76561198074803000,3
76561198084863200,76561198084863200,3
76561198203004400,snipeiskey,3
76561198038712200,76561198038712200,3
76561198054794300,dard,3
76561198073601700,76561198073601700,3
76561198096409000,76561198096409000,3
76561198094789700,anem_is,3
76561197995898800,76561197995898800,3
76561198072271800,76561198072271800,3
76561198069354900,76561198069354900,3
76561198012600800,76561198012600800,3
76561198086261600,76561198086261600,3
76561198085797100,76561198085797100,3
76561198178814100,HexTP,3
76561198009271800,76561198009271800,3
76561198071695600,brootasaurus,3
76561198072240400,76561198072240400,3
76561198027757700,76561198027757700,3
76561198080218800,76561198080218800,3
76561198080804300,76561198080804300,3
76561198090802400,76561198090802400,3
76561198256579800,OfficiaIChlLi,3
76561198037265200,76561198037265200,3
76561198212321500,moosashi,3
76561198101259000,TheHiddenBlade_chile,3
76561198228173900,Jayden028,3
76561198088829800,76561198088829800,3
76561198074766600,djoker888,3
76561198082768700,76561198082768700,3
76561198072125600,drrope,3
76561198059327400,76561198059327400,3
76561198070443400,76561198070443400,3
76561198098872800,76561198098872800,3
76561198051128500,76561198051128500,3
76561198308971800,76561198308971800,3
76561198175682400,76561198175682400,3
76561198084310000,76561198084310000,3
76561198089752500,76561198089752500,3
76561198082862100,76561198082862100,3
76561198091873600,1398199813,3
76561198084300700,76561198084300700,3
76561198130227000,infernape243,3
76561198090892900,juliusleung,3
76561198047228000,76561198047228000,3
76561198053387600,mypros,3
76561198000241700,76561198000241700,3
76561198083858400,76561198083858400,3
76561198070773600,76561198070773600,3
76561198068152500,76561198068152500,3
76561198053995700,76561198053995700,3
76561198095555300,Jessica_Steamrep_,3
76561198054522500,25652,3
76561198061298500,76561198061298500,3
76561198127318500,76561198127318500,3
76561198074519900,76561198074519900,3
76561198140978100,76561198140978100,3
76561198163063000,laydback,3
76561198072314400,76561198072314400,3
76561198095062400,76561198095062400,3
76561198061174300,76561198061174300,3
76561198093049800,76561198093049800,3
76561198101081300,riggaz98,3
76561198044375800,76561198044375800,3
76561198081784600,76561198081784600,3
76561198080562600,76561198080562600,3
76561198069828100,damarko,3
76561198073447500,76561198073447500,3
76561198045303600,76561198045303600,3
76561198062393400,76561198062393400,3
76561198088616400,MLP_22,3
76561198071374200,76561198071374200,3
76561198212947600,76561198212947600,3
76561198063495800,76561198063495800,3
76561198064014800,76561198064014800,3
76561198083620500,76561198083620500,3
76561198066407500,phantomghost101,3
76561198100023900,76561198100023900,3
76561198032743200,76561198032743200,3
76561198059075900,76561198059075900,3
76561198060755200,76561198060755200,3
76561198066895200,76561198066895200,3
76561198067145900,76561198067145900,3
76561198068399500,76561198068399500,3
76561198056283100,76561198056283100,3
76561198186309200,rhibubble,3
76561198063636500,76561198063636500,3
76561198068197800,76561198068197800,3
76561198080923700,76561198080923700,3
76561198063922600,76561198063922600,3
76561198076373100,PrinceofGamerz,3
76561198097450800,452213,3
76561198209765000,76561198209765000,3
76561198094436000,76561198094436000,3
76561198173726400,76561198173726400,3
76561198073566500,76561198073566500,3
76561198044824600,76561198044824600,3
76561198019497500,76561198019497500,3
76561198245176900,sundstr_m,3
76561198076165500,tabish97,3
76561198064814400,76561198064814400,3
76561198086825200,76561198086825200,3
